time,Day,S_Guinea,E_Guinea,I_Guinea,R_Guinea,D_Guinea,C_Guinea,Guinea_New_case,Guinea_Noise,Guinea_New_Deaths,Guinea_Death_Noise,S_Liberia,E_Liberia,I_Liberia,R_Liberia,D_Liberia,C_Liberia,Liberia_New_case,Liberia_Noise,Liberia_New_Deaths,Liberia_Death_Noise,S_SierraLeone,E_SierraLeone,I_SierraLeone,R_SierraLeone,D_SierraLeone,C_SierraLeone,SierraLeone_New_case,SierraLeone_Noise,SierraLeone_New_Deaths,SierraLeone_Death_Noise
2013-12-28,0,11499990.0,10.0,10.0,0.0,0.0,0.0,0.0,0,0.0,0,4499990.0,10.0,10.0,0.0,0.0,0.0,0.0,0,0.0,0,6799990.0,10.0,10.0,0.0,0.0,0.0,0.0,0,0.0,0
2013-12-29,1,11499967.320164694,19.996832256458553,12.331674393345137,5.81535317717532,4.535975478196748,12.68300304871721,12.68300304871721,8,4.535975478196748,6,4499957.220917488,27.262221936590976,14.746527445493196,5.853441917850943,4.916891210994795,15.516860574338935,15.516860574338935,17,4.916891210994795,6,6799962.664918153,23.3175127898285,13.323807509856419,6.007731205909634,4.6860303406095145,14.01756905637557,14.01756905637557,18,4.6860303406095145,6
2013-12-30,2,11499935.030997777,31.245259105909508,18.63524494146325,14.094661896567606,10.99383627932273,33.72374311735359,21.04074006863638,17,6.457860801125983,9,4499898.950405825,53.16397128392819,27.968958522958516,16.259056720906663,13.657607645561603,47.885622889426784,32.36876231508785,40,8.740716434566808,12,6799919.531455705,40.47855518353522,22.421891692884458,15.48769517830022,12.080402239074173,39.98998911025884,25.97242005388327,52,7.394371898464659,6
2013-12-31,3,11499885.65803261,48.09882542951036,28.620140411418284,26.75449525253309,20.868506296975816,66.24314196092722,32.519398843573626,48,9.874670017653086,7,4499787.277840701,102.34051169044147,53.77128971145664,36.20128146464496,30.40907643030177,110.38164760640336,62.49602471697658,56,16.75146878474017,17,6799846.113171841,69.28511838208011,38.31123933021375,31.623859800402972,24.666610644314307,84.60170977493102,44.611720664672184,34,12.586208405240134,11
2014-01-01,4,11499809.767950695,73.96650825789189,44.00506907138532,46.21374830200447,36.04672367556349,116.2655410489533,50.02239908802608,45,15.178217378587675,11,4499572.4889183445,196.88171803655405,103.4404819004215,74.55917484581784,62.629706870487,230.62936361672638,120.24771601032302,107,32.22063044018523,29,6799720.587475239,118.49685534540086,65.51687833160894,59.21280397938101,46.185987103917164,160.91566941490711,76.31395963997609,63,21.519376459602856,22
2014-01-02,5,11499693.077146627,113.73701244774406,67.6653379043857,76.13511405697344,59.385388964439294,193.18584092579846,76.92029987684516,60,23.338665288875802,17,4499159.325140183,378.7259407667401,198.98709269067115,148.34881867193394,124.61300768442449,461.9489190470296,231.31955543030324,267,61.98330081393749,40,6799505.922326351,202.64954414802895,112.04566848602389,106.39464101842663,82.98781999437271,291.4281294988232,130.51246008391607,110,36.80183289045555,25
2014-01-03,6,11499513.647259334,174.88888845473087,104.04688369340882,122.14436433703665,95.27260418288859,311.46385221333406,118.2780112875356,82,35.88721521844929,71,4498364.665839945,728.4401366235602,382.7580026632638,290.29131563379394,243.8447051323869,906.8940234294446,444.94510438241497,322,119.23169744796242,209,6799138.825814666,346.5520511231936,191.61397813907436,187.08323374612993,145.9249223219813,514.6221342071856,223.1940047083624,219,62.9371023276086,55
2014-01-04,7,11499237.75042698,268.9156895185314,159.98793466533786,192.89098249316103,150.45496634466562,493.3338835031646,181.87003128983054,139,55.182362161777036,83,4496836.628325356,1400.7671239149856,736.131214583288,563.3007261653751,473.1726099789149,1762.6045507275778,855.7105272981332,954,229.327904846528,235,6798511.09813244,592.6057043993254,327.67297691644706,325.06920575391837,253.55398048805625,896.2961631584217,381.6740289512361,229,107.62905816607494,123
2014-01-05,8,11498813.533554051,413.4855429228936,246.0016164870317,301.6737564815741,235.30553005562783,772.9809030242336,279.647019521069,461,84.8505637109622,50,4493899.7664139625,2692.477285181049,1415.3197590766888,1088.2807292271523,914.1558125508077,3407.756300854648,1645.1517501270703,2475,440.9832025718928,758,6797437.8148521315,1013.257200259034,560.3017977303859,561.0259268960586,437.60022297892573,1548.9279476053698,652.6317844469481,881,184.04624249086947,128
2014-01-06,9,11498161.28575648,635.7546763957207,378.24853543360337,468.9387818491479,365.7722498423353,1202.9595671250866,429.97866410085294,383,130.4667197867075,235,4488260.250151747,5171.0744378221525,2719.574385805813,2097.3375133820778,1761.7635112409453,6568.675410428836,3160.9191095741876,2204,847.6076986901376,958,6795603.070974043,1732.204766560786,957.9627006631961,964.4727858024347,752.2887729258989,2664.724259391529,1115.796311786159,1858,314.6885499469732,205
